sequence,depth,T_HW_ms,cycles,MMAC,weights,bottlenecks,block_cycles,hw_feasible_on_bitstream,infeasible_at
16-48-48-48-64,5,17.766320,1776632,199.065600,9963,PW-DW-DW-PW-PW,518400/469300/356932/208800/223200,1,
16-48-48-16-48-64,6,17.820320,1782032,190.080000,9339,PW-DW-DW-PW-PW-PW,518400/469300/356932/111600/102600/223200,1,
16-32-64-48-32-64,6,17.838960,1783896,203.212800,11019,PW-DW-DW-PW-PW-PW,518400/469300/238196/266400/126000/165600,1,
16-64-32-32-16-64,6,17.860680,1786068,169.574400,7147,PW-PW-DW-PW-PW-PW,518400/489600/475668/97200/82800/122400,0,b3 G*Cin=2560
16-48-32-48-32-64,6,17.874320,1787432,186.393600,9083,PW-DW-DW-PW-PW-PW,518400/469300/356932/151200/126000/165600,1,
16-48-48-48-16-64,6,17.874320,1787432,182.707200,8827,PW-DW-DW-PW-PW-PW,518400/469300/356932/208800/111600/122400,1,
16-48-16-64-32-64,6,17.874320,1787432,175.334400,8315,PW-DW-DW-PW-PW-PW,518400/469300/356932/122400/154800/165600,1,
16-48-16-32-48-64,6,17.874320,1787432,173.260800,8171,PW-DW-DW-PW-PW-PW,518400/469300/356932/68400/151200/223200,1,
16-32-64-64-64,5,17.874960,1787496,223.257600,12411,PW-DW-DW-PW-PW,518400/469300/238196/280800/280800,1,
16-48-32-64-64,5,17.910320,1791032,199.065600,9963,PW-DW-DW-PW-PW,518400/469300/356932/165600/280800,1,
16-16-16-64-64-64,6,17.911600,1791160,197.452800,11387,PW-DW-DW-PW-PW-PW,518400/469300/119460/122400/280800/280800,1,
16-32-48-32-64-64,6,17.982960,1798296,210.585600,11531,PW-DW-DW-PW-PW-PW,518400/469300/238196/126000/165600/280800,1,
16-64-64-16-16-64,6,18.004680,1800468,197.452800,9083,PW-PW-DW-PW-PW-PW,518400/489600/475668/140400/54000/122400,0,b3 G*Cin=2560
16-64-32-16-32-64,6,18.004680,1800468,176.947200,7659,PW-PW-DW-PW-PW-PW,518400/489600/475668/82800/68400/165600,0,b3 G*Cin=2560
