H,W,c_in,stride,G,in_beats,predicted_cycles,measured_cycles,abs_err,pct_err,err_per_row,axis_cycles,axis_minus_core,core_out_beats,axis_out_beats,status
24,1279,3,1,160,11520,12175,12194,19,0.15605749486652978,0.76,12211,17,11520,11520,OK
24,1279,3,2,160,11520,12175,11707,-468,-3.8439425051334704,-18.72,12208,501,2880,2880,OK
1,160,8,1,20,160,344,363,19,5.523255813953488,9.5,380,17,160,160,OK
1,160,8,2,20,160,344,363,19,5.523255813953488,9.5,380,17,80,80,OK
2,160,8,1,20,320,516,535,19,3.682170542635659,6.333333333333333,552,17,320,320,OK
2,160,8,2,20,320,516,363,-153,-29.651162790697676,-51.0,549,186,80,80,OK
4,160,8,1,20,640,860,879,19,2.2093023255813953,3.8,896,17,640,640,OK
4,160,8,2,20,640,860,707,-153,-17.790697674418606,-30.6,893,186,160,160,OK
8,160,8,1,20,1280,1548,1567,19,1.227390180878553,2.111111111111111,1584,17,1280,1280,OK
8,160,8,2,20,1280,1548,1395,-153,-9.883720930232558,-17.0,1581,186,320,320,OK
16,160,8,1,20,2560,2924,2943,19,0.6497948016415869,1.1176470588235294,2960,17,2560,2560,OK
16,160,8,2,20,2560,2924,2771,-153,-5.232558139534884,-9.0,2957,186,640,640,OK
32,160,8,1,20,5120,5676,5695,19,0.3347427766032417,0.5757575757575758,5712,17,5120,5120,OK
32,160,8,2,20,5120,5676,5523,-153,-2.6955602536997887,-4.636363636363637,5709,186,1280,1280,OK
